title,date,L,E,M,C,B,A,i+,i,i-
"Portugali, lyhyt oppimäärä",Kevät 2003,191,178,165,148,119,100,,,
"Latina, lyhyt oppimäärä",Kevät 2003,198,185,169,150,120,100,,,
"Latina, laajempi oppimäärä",Kevät 2003,192,180,160,143,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2003,195,180,160,140,120,100,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2003,200,175,155,135,115,100,,,
"Äidinkieli, ruotsi",Kevät 2007,095,081,065,047,035,019,,,
"Äidinkieli, pohjoissaame",Kevät 2007,060,050,040,030,020,010,,,
Suomi toisena kielenä,Kevät 2007,184,170,154,130,114,092,,,
Svenska som andraspråk,Kevät 2007,180,165,145,130,115,095,,,
"Matematiikka, pitkä oppimäärä",Kevät 2007,056,043,032,022,015,010,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2007,053,043,033,023,015,010,,,
"Ruotsi, pitkä oppimäärä",Kevät 2007,272,245,221,201,165,120,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2007,262,236,210,178,144,110,,,
"Suomi, pitkä oppimäärä",Kevät 2007,275,257,239,218,192,139,,,
"Suomi, keskipitkä oppimäärä",Kevät 2007,268,238,219,190,159,115,,,
"Englanti, pitkä oppimäärä",Kevät 2007,272,250,228,201,166,127,,,
"Saksa, pitkä oppimäärä",Kevät 2007,277,249,222,196,164,119,,,
"Ranska, pitkä oppimäärä",Kevät 2007,285,261,242,220,187,140,,,
"Venäjä, pitkä oppimäärä",Kevät 2007,275,245,220,190,160,125,,,
"Espanja, pitkä oppimäärä",Kevät 2007,278,262,229,209,180,134,,,
"Ranska, pitkä oppimäärä",Kevät 2005,280,259,238,216,180,144,,,
"Venäjä, pitkä oppimäärä",Kevät 2005,261,242,217,180,151,120,,,
"Espanja, pitkä oppimäärä",Kevät 2005,273,250,235,210,170,140,,,
"Englanti, lyhyt oppimäärä",Kevät 2005,269,235,214,192,158,120,,,
"Saksa, lyhyt oppimäärä",Kevät 2005,273,244,215,187,157,120,,,
"Ranska, lyhyt oppimäärä",Kevät 2005,265,237,207,181,158,124,,,
"Venäjä, lyhyt oppimäärä",Kevät 2005,262,230,190,160,140,115,,,
"Espanja, lyhyt oppimäärä",Kevät 2005,280,246,211,184,152,120,,,
"Italia , lyhyt oppimäärä",Kevät 2005,283,254,225,195,172,123,,,
"Portugali, lyhyt oppimäärä",Kevät 2005,188,177,160,147,120,100,,,
,Kevät 2008,088,075,060,044,033,022,,,
"Äidinkieli, ruotsi",Kevät 2008,096,083,066,046,033,020,,,
"Äidinkieli, pohjoissaame",Syksy 2007,060,050,040,030,020,010,,,
Suomi toisena kielenä,Syksy 2007,184,167,151,129,112,090,,,
Svenska som andraspråk,Syksy 2007,185,165,145,130,115,095,,,
"Matematiikka, pitkä oppimäärä",Syksy 2007,052,037,027,020,013,008,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2007,046,036,028,021,014,007,,,
"Ruotsi, pitkä oppimäärä",Syksy 2007,274,249,225,190,158,112,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2007,269,243,216,182,147,118,,,
"Suomi, pitkä oppimäärä",Syksy 2007,282,261,239,209,187,147,,,
"Suomi, keskipitkä oppimäärä",Syksy 2007,261,236,214,188,157,111,,,
"Englanti, pitkä oppimäärä",Syksy 2007,273,253,232,202,158,120,,,
"Saksa, pitkä oppimäärä",Syksy 2007,282,254,228,197,159,120,,,
"Ranska, pitkä oppimäärä",Syksy 2007,284,264,240,217,177,138,,,
"Venäjä, pitkä oppimäärä",Syksy 2007,276,260,230,195,160,130,,,
"Espanja, pitkä oppimäärä",Syksy 2007,275,260,240,213,175,140,,,
"Äidinkieli, suomi",Syksy 2008,088,075,060,043,032,021,,,
"Äidinkieli, suomi",Syksy 2009,085,073,058,042,031,021,,,
"Äidinkieli, suomi",Syksy 2010,087,073,061,045,034,022,,,
"Äidinkieli, ruotsi",Syksy 2010,092,075,065,049,033,023,,,
"Äidinkieli, pohjoissaame",Syksy 2010,060,050,040,030,020,010,,,
"Äidinkieli, suomi",Syksy 2011,087,073,061,045,033,022,,,
