title,date,L,E,M,C,B,A,i+,i,i-
"Portugali, lyhyt oppimäärä",Syksy 2016,181,175,160,140,111,95,88,78,68
Evankelis-luterilainen uskonto,Syksy 2016,32,27,22,18,14,10,9,8,7
Ortodoksinen uskonto,Syksy 2016,32,27,22,18,14,10,9,8,7
Elämänkatsomustieto,Syksy 2016,35,27,23,18,14,8,7,6,4
Filosofia,Syksy 2016,88,71,59,47,35,25,22,21,20
Psykologia,Syksy 2016,32,26,22,17,13,9,8,6,4
Historia,Syksy 2016,33,28,23,18,13,9,8,6,5
Yhteiskuntaoppi,Syksy 2016,33,28,24,20,15,11,10,9,7
Fysiikka,Syksy 2016,41,33,25,18,14,10,9,7,6
Kemia,Syksy 2016,42,35,28,21,15,11,10,9,7
Biologia,Syksy 2016,44,38,33,27,21,15,14,13,11
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
Suomi toisena kielenä,Kevät 2019,200,184,171,156,134,104,,,
Ruotsi toisena kielenä,Kevät 2019,200,184,171,156,133,104,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2019,237,202,170,138,110,90,,,
"Ruotsi, pitkä oppimäärä",Kevät 2019,255,220,190,160,130,105,,,
"Suomi, keskipitkä oppimäärä",Kevät 2019,268,243,221,182,148,116,,,
"Suomi, pitkä oppimäärä",Kevät 2019,273,253,235,216,180,142,,,
"Englanti, lyhyt oppimäärä",Kevät 2019,268,246,226,196,166,129,,,
"Englanti, pitkä oppimäärä",Kevät 2019,267,244,221,190,156,122,,,
"Espanja, lyhyt oppimäärä",Kevät 2019,282,255,227,187,147,110,,,
"äidinkielen koe, inarinsaame",Kevät 2020,55,50,40,30,20,10,,,
Ruotsi toisena kielenä,Kevät 2020,195,178,163,146,128,104,,,
Suomi toisena kielenä,Kevät 2020,195,178,163,147,128,104,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2020,242,201,167,133,110,90,,,
"Ruotsi, pitkä oppimäärä",Kevät 2020,257,225,195,168,140,115,,,
"Suomi, keskipitkä oppimäärä",Kevät 2020,268,251,223,185,144,110,,,
"Suomi, pitkä oppimäärä",Kevät 2020,272,254,233,208,183,142,,,
"Englanti, lyhyt oppimäärä",Kevät 2020,256,230,208,185,152,127,,,
"Englanti, pitkä oppimäärä",Kevät 2020,263,240,219,192,162,132,,,
"Espanja, lyhyt oppimäärä",Kevät 2020,278,251,220,185,151,116,,,
"Espanja, pitkä oppimäärä",Kevät 2020,266,244,219,170,150,119,,,
"Italia, lyhyt oppimäärä",Kevät 2020,272,250,233,200,170,125,,,
"Latina, laajempi oppimäärä",Kevät 2020,195,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2020,195,180,160,140,120,90,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2020,195,181,166,140,120,100,,,
"Portugali, lyhyt oppimäärä",Kevät 2020,184,172,145,133,120,100,,,
Suomi toisena kielenä,Syksy 2019,199,185,167,145,122,103,,,
Ruotsi toisena kielenä,Syksy 2019,199,185,167,145,122,103,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2019,243,210,180,148,117,90,,,
"Ruotsi, pitkä oppimäärä",Syksy 2019,255,225,195,162,125,107,,,
"Suomi, keskipitkä oppimäärä",Syksy 2019,266,244,216,183,149,115,,,
"Suomi, pitkä oppimäärä",Syksy 2019,274,261,244,213,182,137,,,
"Englanti, lyhyt oppimäärä",Syksy 2019,258,236,216,191,159,126,,,
"Englanti, pitkä oppimäärä",Syksy 2019,267,248,229,204,175,141,,,
"Espanja, lyhyt oppimäärä",Syksy 2019,281,259,235,184,154,122,,,
"Espanja, pitkä oppimäärä",Syksy 2019,261,248,215,201,160,120,,,
"Italia, lyhyt oppimäärä",Syksy 2019,273,254,232,200,170,125,,,
"Koltan saame, lyhyt oppimäärä",Syksy 2019,195,181,166,140,120,100,,,
"Latina, laajempi oppimäärä",Syksy 2019,195,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2019,195,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2019,195,181,166,140,120,100,,,
Suomi toisena kielenä,Syksy 2020,194,177,160,145,128,104,99,90,77
Ruotsi toisena kielenä,Syksy 2020,194,177,160,145,128,104,99,90,77
"Ruotsi, pitkä oppimäärä",Syksy 2020,263,232,208,169,134,110,95,86,77
"Ruotsi, keskipitkä oppimäärä",Syksy 2020,239,210,180,148,120,93,82,70,54
"Suomi, pitkä oppimäärä",Syksy 2020,271,257,239,215,182,138,130,120,110
"Suomi, keskipitkä oppimäärä",Syksy 2020,265,245,211,174,147,112,104,94,84
"Englanti, pitkä oppimäärä",Syksy 2020,270,251,232,208,179,144,138,128,116
"Saksa, pitkä oppimäärä",Syksy 2020,275,239,209,166,134,118,108,96,75
"Ranska, pitkä oppimäärä",Syksy 2020,274,259,229,204,169,120,114,95,85
"Venäjä, pitkä oppimäärä",Syksy 2020,274,256,232,200,155,125,110,95,85
"Espanja, pitkä oppimäärä",Syksy 2020,275,251,210,170,140,120,110,97,90
"Saksa, lyhyt oppimäärä",Syksy 2020,275,242,214,182,146,112,102,80,72
"Englanti, lyhyt oppimäärä",Syksy 2020,249,225,200,176,148,124,119,112,98
Elämänkatsomustieto,Syksy 2015,033,027,023,018,016,009,008,006,005
Filosofia,Syksy 2015,031,024,020,016,012,009,008,007,006
Psykologia,Syksy 2015,032,026,022,017,012,008,006,005,004
Historia,Syksy 2015,034,029,024,019,014,009,008,006,005
Yhteiskuntaoppi,Syksy 2015,034,028,024,020,015,011,010,009,007
Fysiikka,Syksy 2015,041,033,027,021,016,011,009,007,006
Kemia,Syksy 2015,041,034,028,021,016,010,009,008,006
Biologia,Syksy 2015,042,036,030,025,019,013,011,010,009
Maantiede,Syksy 2015,034,028,024,019,015,011,010,009,007
Terveystieto,Syksy 2015,029,024,020,016,013,010,009,008,007
"Portugali, lyhyt oppimäärä",Kevät 2017,181,170,153,139,120,100,90,80,70
Evankelis-luterilainen uskonto,Kevät 2017,34,29,24,19,14,10,9,8,6
Ortodoksinen uskonto,Kevät 2017,34,29,24,19,14,10,9,8,6
Elämänkatsomustieto,Kevät 2017,34,28,24,18,14,10,9,8,6
Filosofia,Kevät 2017,86,67,53,41,27,16,15,11,8
Psykologia,Kevät 2017,94,77,64,49,35,21,16,13,9
Historia,Kevät 2017,35,28,23,17,13,9,8,6,5
Yhteiskuntaoppi,Kevät 2017,94,79,65,51,37,23,20,18,16
Fysiikka,Kevät 2017,40,32,25,19,15,11,9,8,6
Kemia,Kevät 2017,41,32,24,16,11,7,6,5,4
"Inarinsaame, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Italia, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Latina, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Portugali, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Ranska, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Ranska, pitkä oppimäärä",Kevät 2018,,,,,,,,,
"Saksa, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Saksa, pitkä oppimäärä",Kevät 2018,,,,,,,,,
"Saksa, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Saksa, pitkä oppimäärä",Syksy 2018,,,,,,,,,
"Venäjä, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Venäjä, pitkä oppimäärä",Syksy 2018,,,,,,,,,
"Matematiikan koe, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Matematiikan koe, pitkä oppimäärä",Syksy 2018,,,,,,,,,
Biologia,Syksy 2018,,,,,,,,,
Elämänkatsomustieto,Syksy 2018,,,,,,,,,
Evankelis-luterilainen uskonto,Syksy 2018,,,,,,,,,
Filosofia,Syksy 2018,,,,,,,,,
Fysiikka,Syksy 2018,,,,,,,,,
Historia,Syksy 2018,,,,,,,,,
Kemia,Syksy 2018,,,,,,,,,
Maantiede,Syksy 2018,,,,,,,,,
Ortodoksinen uskonto,Syksy 2018,,,,,,,,,
Psykologia,Syksy 2018,,,,,,,,,
"Ranska, lyhyt oppimäärä",Syksy 2017,263,222,202,178,140,116,98,92,86
"Venäjä, lyhyt oppimäärä",Syksy 2017,264,232,200,163,135,114,104,94,84
"Espanja, lyhyt oppimäärä",Syksy 2017,268,240,205,160,135,118,108,70,50
"Italia, lyhyt oppimäärä",Syksy 2017,273,244,205,170,140,120,100,80,70
"Latina, laajempi oppimäärä",Syksy 2017,196,180,160,140,120,100,75,50,25
"Latina, lyhyt oppimäärä",Syksy 2017,196,180,160,140,120,100,75,50,25
"Pohjoissaame, lyhyt oppimäärä",Syksy 2017,195,181,166,140,120,98,90,80,70
"Portugali, lyhyt oppimäärä",Syksy 2017,179,162,148,136,125,100,90,80,70
Evankelis-luterilainen uskonto,Syksy 2017,90,76,62,50,36,26,22,20,18
Ortodoksinen uskonto,Syksy 2017,90,76,62,50,36,26,22,20,18
Elämänkatsomustieto,Syksy 2017,94,79,63,54,39,29,27,23,18
Filosofia,Syksy 2017,85,70,56,44,32,22,19,18,16
Psykologia,Syksy 2017,91,75,62,49,36,24,22,20,17
Historia,Syksy 2017,97,81,68,53,40,28,26,23,18
Yhteiskuntaoppi,Syksy 2017,94,79,67,54,41,31,29,26,20
Kemia,Kevät 2015,41,31,24,17,11,7,6,5,4
Biologia,Kevät 2015,42,33,26,19,13,9,8,7,6
Maantiede,Kevät 2015,34,28,23,19,15,11,10,9,7
Terveystieto,Kevät 2015,30,25,21,17,13,10,9,8,7
Maantiede,Kevät 2016,33,28,24,19,14,10,9,8,7
Terveystieto,Kevät 2016,28,23,20,16,13,10,9,8,7
Maantiede,Syksy 2016,91,79,69,58,47,36,33,30,20
Terveystieto,Syksy 2016,30,25,22,18,14,11,10,9,7
"Espanja, pitkä oppimäärä",Kevät 2019,265,244,210,170,140,120,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2019,192,180,166,140,120,100,,,
"Italia, lyhyt oppimäärä",Kevät 2019,272,258,236,200,175,130,,,
"Koltan saame, lyhyt oppimäärä",Kevät 2019,195,181,166,140,120,100,,,
"Latina, laajempi oppimäärä",Kevät 2019,195,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2019,195,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2019,195,181,166,140,120,100,,,
"Portugali, lyhyt oppimäärä",Kevät 2019,190,175,159,145,116,100,,,
"Ranska, lyhyt oppimäärä",Kevät 2019,266,232,199,168,135,117,,,
"Ranska, pitkä oppimäärä",Kevät 2019,272,238,215,190,162,120,,,
"Saksa, lyhyt oppimäärä",Kevät 2019,263,230,192,158,126,110,,,
"Saksa, pitkä oppimäärä",Kevät 2019,266,215,184,154,123,110,,,
"Ranska, lyhyt oppimäärä",Kevät 2020,267,234,202,165,135,116,,,
"Ranska, pitkä oppimäärä",Kevät 2020,270,240,211,171,139,118,,,
"Saksa, lyhyt oppimäärä",Kevät 2020,275,243,216,186,146,111,,,
"Saksa, pitkä oppimäärä",Kevät 2020,265,231,194,150,132,114,,,
"Venäjä, lyhyt oppimäärä",Kevät 2020,263,230,203,169,143,110,,,
"Venäjä, pitkä oppimäärä",Kevät 2020,267,234,205,172,140,117,,,
"Matematiikan koe, lyhyt oppimäärä",Kevät 2020,89,72,57,43,32,21,,,
"Matematiikan koe, pitkä oppimäärä",Kevät 2020,79,58,43,31,21,14,,,
Biologia,Kevät 2020,100,84,65,49,36,24,,,
Elämänkatsomustieto,Kevät 2020,95,78,61,43,33,24,,,
Evankelis-luterilainen uskonto,Kevät 2020,96,82,68,55,42,30,,,
Filosofia,Kevät 2020,80,62,47,35,25,16,,,
Fysiikka,Kevät 2020,95,76,59,42,31,23,,,
Historia,Kevät 2020,96,80,67,51,35,23,,,
Kemia,Kevät 2020,100,82,66,50,34,24,,,
Maantiede,Kevät 2020,99,85,73,58,43,30,,,
Ortodoksinen uskonto,Kevät 2020,96,82,68,55,42,30,,,
Psykologia,Kevät 2020,94,79,66,53,40,27,,,
Terveystieto,Kevät 2020,84,73,62,50,39,27,,,
Yhteiskuntaoppi,Kevät 2020,91,74,60,46,30,19,,,
"Portugali, lyhyt oppimäärä",Syksy 2019,188,168,158,141,125,100,,,
"Ranska, lyhyt oppimäärä",Syksy 2019,266,230,195,168,138,113,,,
"Ranska, pitkä oppimäärä",Syksy 2019,272,255,225,199,169,120,,,
"Saksa, lyhyt oppimäärä",Syksy 2019,276,253,221,190,155,119,,,
"Saksa, pitkä oppimäärä",Syksy 2019,272,259,219,192,157,118,,,
"Venäjä, lyhyt oppimäärä",Syksy 2019,263,233,200,170,140,115,,,
"Venäjä, pitkä oppimäärä",Syksy 2019,271,253,229,200,155,120,,,
"Matematiikan koe, lyhyt oppimäärä",Syksy 2019,94,75,59,45,31,20,,,
"Matematiikan koe, pitkä oppimäärä",Syksy 2019,87,66,47,34,23,14,,,
Biologia,Syksy 2019,100,87,74,60,46,34,,,
Elämänkatsomustieto,Syksy 2019,95,78,60,43,31,26,,,
"Ranska, lyhyt oppimäärä",Syksy 2020,263,231,202,172,142,114,95,83,75
"Venäjä, lyhyt oppimäärä",Syksy 2020,266,236,203,170,140,111,105,95,85
"Espanja, lyhyt oppimäärä",Syksy 2020,277,252,211,181,147,112,109,100,72
"Italia, lyhyt oppimäärä",Syksy 2020,268,248,226,193,170,120,110,90,70
"Latina, laajempi oppimäärä",Syksy 2020,195,180,160,140,120,100,85,70,50
"Latina, lyhyt oppimäärä",Syksy 2020,195,180,160,140,120,100,85,70,50
"Pohjoissaame, lyhyt oppimäärä",Syksy 2020,195,181,166,140,120,100,90,80,70
Inarinsaame lyhyt oppimäärä,Syksy 2020,192,180,166,140,120,100,90,80,70
"Portugali, lyhyt oppimäärä",Syksy 2020,187,167,152,140,120,100,90,80,70
"Matematiikka, pitkä oppimäärä",Syksy 2020,101,76,57,38,24,15,14,12,9
"Matematiikka, lyhyt oppimäärä",Syksy 2020,88,65,46,30,19,12,11,10,8
"Uskonto, evankelis-luterilainen",Syksy 2020,95,83,71,57,44,32,31,28,24
Biologia,Kevät 2017,44,37,29,22,15,10,9,8,7
Maantiede,Kevät 2017,90,74,62,47,34,23,20,17,11
Terveystieto,Kevät 2017,30,25,22,18,14,10,9,8,6
"Venäjä, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Venäjä, pitkä oppimäärä",Kevät 2018,,,,,,,,,
Biologia,Kevät 2018,,,,,,,,,
Elämänkatsomustieto,Kevät 2018,,,,,,,,,
Evankelis-luterilainen uskonto,Kevät 2018,,,,,,,,,
Filosofia,Kevät 2018,,,,,,,,,
Fysiikka,Kevät 2018,,,,,,,,,
Historia,Kevät 2018,,,,,,,,,
Kemia,Kevät 2018,,,,,,,,,
Maantiede,Kevät 2018,,,,,,,,,
Ortodoksinen uskonto,Kevät 2018,,,,,,,,,
Psykologia,Kevät 2018,,,,,,,,,
Terveystieto,Kevät 2018,,,,,,,,,
Terveystieto,Syksy 2018,,,,,,,,,
Yhteiskuntaoppi,Syksy 2018,,,,,,,,,
Fysiikka,Syksy 2017,41,33,25,19,14,10,8,7,6
Kemia,Syksy 2017,41,34,28,22,16,10,9,8,6
Biologia,Syksy 2017,44,37,32,25,19,12,11,10,8
Maantiede,Syksy 2017,97,83,70,58,45,35,32,29,24
Terveystieto,Syksy 2017,80,66,55,44,33,24,22,20,16
"Venäjä, lyhyt oppimäärä",Kevät 2019,267,234,205,173,140,117,,,
"Venäjä, pitkä oppimäärä",Kevät 2019,269,247,220,192,158,125,,,
"Matematiikan koe, lyhyt oppimäärä",Kevät 2019,101,82,67,51,34,19,,,
"Matematiikan koe, pitkä oppimäärä",Kevät 2019,93,68,47,30,19,14,,,
Biologia,Kevät 2019,92,75,62,46,34,24,,,
Elämänkatsomustieto,Kevät 2019,94,77,64,49,35,26,,,
Evankelis-luterilainen uskonto,Kevät 2019,98,83,71,57,44,32,,,
Filosofia,Kevät 2019,84,68,56,43,33,23,,,
Fysiikka,Kevät 2019,93,75,61,48,35,25,,,
Historia,Kevät 2019,97,84,71,54,39,24,,,
Kemia,Kevät 2019,101,82,66,47,30,20,,,
Evankelis-luterilainen uskonto,Syksy 2019,95,79,65,55,43,30,,,
Filosofia,Syksy 2019,84,69,56,42,31,21,,,
Fysiikka,Syksy 2019,90,68,50,34,25,20,,,
Historia,Syksy 2019,96,80,66,52,39,26,,,
Kemia,Syksy 2019,103,86,71,57,43,31,,,
Maantiede,Syksy 2019,97,82,70,57,46,34,,,
Ortodoksinen uskonto,Syksy 2019,95,79,65,55,43,30,,,
Psykologia,Syksy 2019,95,80,66,53,40,29,,,
Terveystieto,Syksy 2019,86,74,61,51,40,29,,,
Yhteiskuntaoppi,Syksy 2019,91,76,61,47,33,22,,,
"Uskonto, ortodoksinen",Syksy 2020,95,83,71,57,44,32,31,28,24
Elämänkatsomustieto,Syksy 2020,92,72,60,41,32,24,22,20,18
Filosofia,Syksy 2020,80,60,47,35,26,20,18,16,14
Psykologia,Syksy 2020,95,80,68,55,43,31,28,25,21
Historia,Syksy 2020,90,74,60,46,34,22,20,18,15
Yhteiskuntaoppi,Syksy 2020,90,75,61,49,36,23,21,19,16
Fysiikka,Syksy 2020,95,67,49,30,21,13,12,8,6
Kemia,Syksy 2020,101,82,66,50,35,24,22,19,15
Biologia,Syksy 2020,98,81,67,51,37,27,25,23,19
Maantiede,Syksy 2020,97,83,71,59,47,35,33,29,26
Terveystieto,Syksy 2020,83,70,58,48,37,26,24,22,17
Yhteiskuntaoppi,Kevät 2018,,,,,,,,,
Maantiede,Kevät 2019,94,79,66,52,40,28,,,
Ortodoksinen uskonto,Kevät 2019,98,83,71,57,44,32,,,
Psykologia,Kevät 2019,94,77,61,46,32,20,,,
Terveystieto,Kevät 2019,80,68,57,48,37,28,,,
Yhteiskuntaoppi,Kevät 2019,94,79,66,52,39,28,,,
